Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,1 uF,C52923
"C3, C5",0402,2,2.2 uF,C12530
C4,0402,1,100 nF,C1525
"C6, C7",0603,2,10 uF,C19702
D1,D_SOD-323,1,1N5819WS,C191023
D2,D_SMB,1,P6SMB6.8CA/TR13,C78395
D3,0603,1,LED,C2286
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,C19274016
L1,0805,1,22 uH,C32375
Q1,SOT-23,1,AO3401A,C15127
"R1, R2, R3",0402,3,5K1,C25905
R4,0402,1,100K,C25741
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C318884
U1,QFN-28_L4.0-W4.0-P0.40-BL-EP2.7,1,CH571F,C2856288
U2,SOT-23-3,1,XC6206P332MR,C5446
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32 MHz,C9009
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C32346
