Designator,Mid X,Mid Y,Rotation,Layer
BT1,26.8,-57.85,180.0,bottom
C1,31.510589,-44.010589,135.0,top
C2,25.45,-43.15,45.0,top
C3,25.9,-49.85,135.0,top
C4,30.75,-50.739411,45.0,top
C5,29.339411,-50.760589,45.0,top
C6,26.9,-51.95,180.0,top
C7,37.85,-53.5,90.0,top
D1,26.85,-54.3,90.0,top
D2,35.1,-57.4,180.0,top
D3,23.35,-54.4,90.0,top
J1,29.8,-64.6,0.0,top
L1,27.15,-49.15,135.0,top
Q1,29.65,-54.7625,90.0,top
R1,24.4,-58.7,90.0,top
R2,30.9,-58.7,270.0,top
R3,24.65,-54.15,90.0,top
R4,30.5,-52.25,0.0,top
SW1,37.1,-48.85,0.0,top
SW2,21.35,-49.05,270.0,top
U1,30.434315,-47.2,45.0,top
U2,34.9,-53.3625,0.0,top
Y1,35.2,-44.35,0.0,top
Y2,26.4,-45.35,45.0,top
